,Title,Published_date,Views,Likes,Dislikes,Comments,Month
225,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23,16486,575,0,92,Dec
226,Collision Course: Sports Betting + Data Science,2019-12-20,17326,486,0,27,Dec
227,3 Reasons You Should NOT Become a Data Scientist,2019-12-16,100881,2938,0,204,Dec
228,5 Sports Analytics Books to Get You Started,2019-12-13,10675,407,0,59,Dec
229,Math Needed for Mastering Data Science,2019-12-09,56064,2850,0,222,Dec
230,The 5 Stages of Data Science Adoption,2019-12-06,1317,68,0,17,Dec
231,How YOU Can Land a Sports Analytics Job,2019-12-02,68596,3049,0,231,Dec
232,Data Science Fundamentals: Linear Regression,2019-11-29,6310,172,0,42,Nov
233,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25,1057,53,0,12,Nov
234,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22,5969,270,0,26,Nov
235,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18,46060,1753,0,80,Nov
236,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11,5925,137,0,31,Nov
237,Why Selling Is An Important Data Science Skill,2019-11-04,1620,79,0,13,Nov
238,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21,2812,73,0,18,Oct
239,Why is Balance Important in Data Science?,2019-10-16,701,32,0,13,Oct
240,How to Stay Productive & Motivated When Learning Data Science,2019-09-29,11817,581,0,54,Sep
241,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21,3801,115,0,33,Sep
242,6 Habits of Successful Data Scientists,2019-09-13,2210,95,0,17,Sep
243,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,4537,101,0,9,Sep
244,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,518,24,0,29,Aug
245,Is Data Science Right For You?,2019-08-18,50558,1177,0,109,Aug
246,Data Science Fundamentals: Data Cleaning in Python,2019-08-11,14767,392,0,55,Aug
247,How To Get Data Science Experience (Without a Job),2019-08-08,29283,1385,0,75,Aug
248,Take Your Data Science Projects From Good to Great,2019-08-05,1602,107,0,11,Aug
249,The Projects You Should Do To Get A Data Science Job,2019-07-30,149799,5691,0,255,Jul
250,What Does a Data Scientist Actually Do?,2019-07-19,45785,1263,0,81,Jul
251,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,12852,353,0,42,Jul
252,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05,17762,527,0,61,Jul
253,Data Science: Pros and Cons,2019-06-30,5192,215,0,18,Jun
254,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21,24453,1187,0,89,Jun
255,My Top 5 Data Science Internship Tips,2019-06-15,11827,493,0,23,Jun
256,Golf STATS: Strokes Gained Explained,2019-06-07,7348,150,0,28,Jun
257,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,615,44,0,5,May
258,What I Learned From My Three Degrees,2019-05-17,1253,60,0,12,May
259,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14,25646,1072,0,66,May
